timestamp,experimentid,turn,userScore,robotScore,userSleep,userCourse1,userCourse2,userJob,roboSleep,roboCourse1,roboCourse2,roboJob,userSleepmin,userCourse1min,userCourse2min,userJobmin,roboSleepmin,roboCourse1min,roboCourse2min,roboJobmin,userSleeprec,userCourse1rec,userCourse2rec,userJobrec,roboSleeprec,roboCourse1rec,roboCourse2rec,roboJobrec,totalPlayerTime
1448790298870,1,0,0,4,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,20
1448790556003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448790586864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448790601818,1,0,1,4,3,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,20
1448790615595,1,1,4,8,8,4,4,1,2,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,19
1448790781345,1,2,4,12,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,18
1448790787185,1,3,4,16,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,17
1448790793262,1,4,4,20,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,16
1448791016133,1,4,4,20,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,16
1448791069532,1,4,4,20,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,16
1448798435806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448798696326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448798714831,1,0,4,4,8,4,4,4,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,20
1448798731593,1,1,7,8,8,4,4,3,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,19
1448798753943,1,2,10,12,4,4,4,4,0,0,0,2,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,2,18
1448798779032,1,3,13,15,8,0,4,4,0,0,0,1,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,3,17
1448798911134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448798923717,1,0,4,4,8,4,4,4,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,20
1448798931108,1,1,4,8,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,19
1448798936452,1,2,4,11,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,2,18
1448798941821,1,3,4,14,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,3,17
1448798946888,1,4,4,17,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,4,16
1448798957501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448798968941,1,0,3,4,8,5,4,3,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,20
1448798974451,1,1,3,8,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,19
1448798979584,1,2,3,12,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,18
1448798985277,1,3,3,16,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,17
1448798990599,1,4,3,20,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,4,4,4,0,0,0,0,16
1448799770500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448799979885,3,0,4,4,8,4,4,4,8,4,4,4,3,0,0,1,8,4,4,4,8,4,4,4,8,4,4,4,20
1448799990417,3,1,8,8,8,4,4,4,8,4,4,4,3,0,0,1,8,4,4,4,8,4,4,4,8,4,4,4,20
1448800007785,3,2,11,12,8,4,4,2,8,4,4,4,3,0,0,1,8,4,4,2,8,4,4,4,8,4,4,4,20
1448800018999,3,3,15,15,8,4,4,4,8,4,4,2,3,0,0,1,8,4,4,2,8,4,4,4,8,4,4,4,20
1448800031720,3,4,19,18,8,4,4,4,8,4,4,2,3,0,0,1,8,4,4,2,8,4,4,4,8,4,4,4,20
